~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
H01P200 missing from tranches, no worries
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H29/H29P260.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H29/H29P400.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H29/H29P460.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H29/H29P470.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H29/H29P480.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H29/H29P490.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H29/H29P500.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H29/H29P600.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H29/H29P700.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H29/H29P800.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H29/H29P900.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H29/H29P170.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H29/H29P180.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H29/H29P190.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H27/H27P200.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H27/H27P210.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H27/H27P220.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H27/H27P230.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H27/H27P240.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H27/H27P250.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H27/H27P260.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H27/H27P270.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H27/H27P280.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H27/H27P290.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H27/H27P300.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H27/H27P310.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H28/H28P310.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H28/H28P300.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H28/H28P290.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H29/H29P370.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H26/H26P290.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H26/H26P300.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H26/H26P310.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H26/H26P270.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H26/H26P280.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H26/H26P250.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H26/H26P260.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H26/H26P230.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H26/H26P240.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H27/H27P170.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H27/H27P180.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H27/H27P190.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H27/H27P120.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H27/H27P130.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H27/H27P140.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H27/H27P150.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H27/H27P160.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H27/H27P060.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H27/H27P070.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H27/H27P080.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H27/H27P090.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H27/H27P100.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H27/H27P110.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H28/H28P330.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H28/H28P320.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H29/H29M500.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H29/H29M400.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H29/H29M300.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H29/H29M200.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H29/H29M100.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H29/H29M000.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H29/H29P000.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H29/H29P010.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H29/H29P020.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H29/H29P030.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H29/H29P040.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H29/H29P050.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H29/H29P060.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H29/H29P070.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
H13M500 missing from tranches, no worries
/nfs/exb/zinc22/2dpre_results/mq/H13/H13M400.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H13/H13M300.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H13/H13M200.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H13/H13M100.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H13/H13M000.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H13/H13P000.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H13/H13P010.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H13/H13P020.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H13/H13P030.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H13/H13P040.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H13/H13P050.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H13/H13P060.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H13/H13P070.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H13/H13P080.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H13/H13P090.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H13/H13P100.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H13/H13P110.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H13/H13P120.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H13/H13P130.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H13/H13P140.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H13/H13P150.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H13/H13P160.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H13/H13P170.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H13/H13P180.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H13/H13P190.smi already exists
H14M500 missing from tranches, no worries
/nfs/exb/zinc22/2dpre_results/mq/H14/H14M400.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H14/H14M300.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H14/H14M200.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H14/H14M100.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H14/H14M000.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H14/H14P000.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H14/H14P010.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H14/H14P020.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H14/H14P030.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H14/H14P040.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H14/H14P050.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H14/H14P060.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H14/H14P070.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H14/H14P080.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H14/H14P090.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H14/H14P100.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H14/H14P110.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H14/H14P120.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H14/H14P130.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H14/H14P140.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H14/H14P150.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H14/H14P160.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H14/H14P170.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H14/H14P180.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H14/H14P190.smi already exists
H15M500 missing from tranches, no worries
/nfs/exb/zinc22/2dpre_results/mq/H15/H15M400.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H15/H15M300.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H15/H15M200.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H15/H15M100.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H15/H15M000.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H15/H15P000.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H15/H15P010.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H15/H15P020.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H15/H15P030.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H15/H15P040.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H15/H15P050.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H15/H15P060.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H15/H15P070.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H15/H15P080.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H15/H15P090.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H15/H15P100.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H15/H15P110.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H15/H15P120.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H15/H15P130.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H15/H15P140.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H15/H15P150.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H15/H15P160.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H15/H15P170.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H15/H15P180.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H15/H15P190.smi already exists
H16M500 missing from tranches, no worries
/nfs/exb/zinc22/2dpre_results/mq/H16/H16M400.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H16/H16M300.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H16/H16M200.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H16/H16M100.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H16/H16M000.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H16/H16P000.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H16/H16P010.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H16/H16P020.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H16/H16P030.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H16/H16P040.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H16/H16P050.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H16/H16P060.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H16/H16P070.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H16/H16P080.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H16/H16P090.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H16/H16P100.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H16/H16P110.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H16/H16P120.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H16/H16P130.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H16/H16P140.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H16/H16P150.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H16/H16P160.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H16/H16P170.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H16/H16P180.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H16/H16P190.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H25/H25P120.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H25/H25P130.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H25/H25P140.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H25/H25P150.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H25/H25P160.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H25/H25P170.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H25/H25P180.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H25/H25P190.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H25/H25M500.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H25/H25M400.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H25/H25M300.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H25/H25M200.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H25/H25M100.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H25/H25M000.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H25/H25P000.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H25/H25P010.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H25/H25P020.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H25/H25P030.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H25/H25P040.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H25/H25P050.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H25/H25P060.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H25/H25P070.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H25/H25P080.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H25/H25P090.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H25/H25P100.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H25/H25P110.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H26/H26P120.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H26/H26P130.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H26/H26P140.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H26/H26P150.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H26/H26P160.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H26/H26P170.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H26/H26P180.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H26/H26P190.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H26/H26P060.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H26/H26P070.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H26/H26P080.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H26/H26P090.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H26/H26P100.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H26/H26P110.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H26/H26M500.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H26/H26M400.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H26/H26M300.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H26/H26M200.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H26/H26M100.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H26/H26M000.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H26/H26P000.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H26/H26P010.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H26/H26P020.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H26/H26P030.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H26/H26P040.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H26/H26P050.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H27/H27M500.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H27/H27M400.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H27/H27M300.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H27/H27M200.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H27/H27M100.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H27/H27M000.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H27/H27P000.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H27/H27P010.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H27/H27P020.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H27/H27P030.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H27/H27P040.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H27/H27P050.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H29/H29P360.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H29/H29P350.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H29/H29P340.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H29/H29P270.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
H01P410 missing from tranches, no worries
H01P420 missing from tranches, no worries
H01P430 missing from tranches, no worries
H01P440 missing from tranches, no worries
H01P450 missing from tranches, no worries
H01P460 missing from tranches, no worries
H01P470 missing from tranches, no worries
H01P480 missing from tranches, no worries
H01P490 missing from tranches, no worries
H01P500 missing from tranches, no worries
H01P600 missing from tranches, no worries
H01P700 missing from tranches, no worries
H01P800 missing from tranches, no worries
H01P900 missing from tranches, no worries
H02P410 missing from tranches, no worries
H02P420 missing from tranches, no worries
H02P430 missing from tranches, no worries
H02P440 missing from tranches, no worries
H02P450 missing from tranches, no worries
H02P460 missing from tranches, no worries
H02P470 missing from tranches, no worries
H02P480 missing from tranches, no worries
H02P490 missing from tranches, no worries
H02P500 missing from tranches, no worries
H02P600 missing from tranches, no worries
H02P700 missing from tranches, no worries
H02P800 missing from tranches, no worries
H02P900 missing from tranches, no worries
H03P410 missing from tranches, no worries
H03P420 missing from tranches, no worries
H03P430 missing from tranches, no worries
H03P440 missing from tranches, no worries
H03P450 missing from tranches, no worries
H03P460 missing from tranches, no worries
H03P470 missing from tranches, no worries
H03P480 missing from tranches, no worries
H03P490 missing from tranches, no worries
H03P500 missing from tranches, no worries
H03P600 missing from tranches, no worries
H03P700 missing from tranches, no worries
H03P800 missing from tranches, no worries
H03P900 missing from tranches, no worries
H04P410 missing from tranches, no worries
H04P420 missing from tranches, no worries
H04P430 missing from tranches, no worries
H04P440 missing from tranches, no worries
H04P450 missing from tranches, no worries
H04P460 missing from tranches, no worries
H04P470 missing from tranches, no worries
H04P480 missing from tranches, no worries
H04P490 missing from tranches, no worries
H04P500 missing from tranches, no worries
H04P600 missing from tranches, no worries
H04P700 missing from tranches, no worries
H04P800 missing from tranches, no worries
H04P900 missing from tranches, no worries
H05P410 missing from tranches, no worries
H05P420 missing from tranches, no worries
H05P430 missing from tranches, no worries
H05P440 missing from tranches, no worries
H05P450 missing from tranches, no worries
H05P460 missing from tranches, no worries
H05P470 missing from tranches, no worries
H05P480 missing from tranches, no worries
H05P490 missing from tranches, no worries
H05P500 missing from tranches, no worries
H05P600 missing from tranches, no worries
H05P700 missing from tranches, no worries
H05P800 missing from tranches, no worries
H05P900 missing from tranches, no worries
H06P410 missing from tranches, no worries
H06P420 missing from tranches, no worries
H06P430 missing from tranches, no worries
H06P440 missing from tranches, no worries
H06P450 missing from tranches, no worries
H06P460 missing from tranches, no worries
H06P470 missing from tranches, no worries
H06P480 missing from tranches, no worries
H06P490 missing from tranches, no worries
H06P500 missing from tranches, no worries
H06P600 missing from tranches, no worries
H06P700 missing from tranches, no worries
H06P800 missing from tranches, no worries
H06P900 missing from tranches, no worries
H07P410 missing from tranches, no worries
H07P420 missing from tranches, no worries
H07P430 missing from tranches, no worries
H07P440 missing from tranches, no worries
H07P450 missing from tranches, no worries
H07P460 missing from tranches, no worries
H07P470 missing from tranches, no worries
H07P480 missing from tranches, no worries
H07P490 missing from tranches, no worries
H07P500 missing from tranches, no worries
H07P600 missing from tranches, no worries
H07P700 missing from tranches, no worries
H07P800 missing from tranches, no worries
H07P900 missing from tranches, no worries
H08P410 missing from tranches, no worries
H08P420 missing from tranches, no worries
H08P430 missing from tranches, no worries
H08P440 missing from tranches, no worries
H08P450 missing from tranches, no worries
H08P460 missing from tranches, no worries
H08P470 missing from tranches, no worries
H08P480 missing from tranches, no worries
H08P490 missing from tranches, no worries
H08P500 missing from tranches, no worries
H08P600 missing from tranches, no worries
H08P700 missing from tranches, no worries
H08P800 missing from tranches, no worries
H08P900 missing from tranches, no worries
H09P410 missing from tranches, no worries
H09P420 missing from tranches, no worries
H09P430 missing from tranches, no worries
H09P440 missing from tranches, no worries
H09P450 missing from tranches, no worries
H09P460 missing from tranches, no worries
H09P470 missing from tranches, no worries
H09P480 missing from tranches, no worries
H09P490 missing from tranches, no worries
H09P500 missing from tranches, no worries
H09P600 missing from tranches, no worries
H09P700 missing from tranches, no worries
H09P800 missing from tranches, no worries
H09P900 missing from tranches, no worries
H10P410 missing from tranches, no worries
H10P420 missing from tranches, no worries
H10P430 missing from tranches, no worries
H10P440 missing from tranches, no worries
H10P450 missing from tranches, no worries
H10P460 missing from tranches, no worries
H10P470 missing from tranches, no worries
H10P480 missing from tranches, no worries
H10P490 missing from tranches, no worries
H10P500 missing from tranches, no worries
H10P600 missing from tranches, no worries
H10P700 missing from tranches, no worries
H10P800 missing from tranches, no worries
H10P900 missing from tranches, no worries
/nfs/exb/zinc22/2dpre_results/mq/H11/H11P410.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H11/H11P420.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H11/H11P430.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H11/H11P440.smi already exists
H11P450 missing from tranches, no worries
/nfs/exb/zinc22/2dpre_results/mq/H11/H11P460.smi already exists
H11P470 missing from tranches, no worries
H11P480 missing from tranches, no worries
H11P490 missing from tranches, no worries
H11P500 missing from tranches, no worries
H11P600 missing from tranches, no worries
H11P700 missing from tranches, no worries
H11P800 missing from tranches, no worries
H11P900 missing from tranches, no worries
/nfs/exb/zinc22/2dpre_results/mq/H12/H12P410.smi already exists
